relationship_id,source_id,source,relationship,target_id,target,evidence,period,evidence_summary,basis,follow_up,source_url
,TL-NH-004,Manchester Society for the Promotion of Natural History formed around private natural-history collections.,organisation,ORG-NH-001,Manchester Society for the Promotion of Natural History,On the record,,,Organisation column for 1821: Manchester Society for the Promotion of Natural History,,https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/
,TL-NH-005,Richard Buxton meets John Horsefield while botanising on Kersal Moor.,took part in,NH-001,Richard Buxton,On the record,,,Key figures column for 1826: Richard Buxton,,https://historicengland.org.uk/listing/the-list/list-entry/1406283
,TL-NH-005,Richard Buxton meets John Horsefield while botanising on Kersal Moor.,took part in,NH-002,John Horsefield,On the record,,,Key figures column for 1826: John Horsefield,,https://historicengland.org.uk/listing/the-list/list-entry/1406283
,TL-NH-005,Richard Buxton meets John Horsefield while botanising on Kersal Moor.,organisation,ORG-NH-003,Prestwich Botanical Society,On the record,,,Organisation column for 1826: Prestwich Botanical Society network,,https://historicengland.org.uk/listing/the-list/list-entry/1406283
,TL-NH-005,Richard Buxton meets John Horsefield while botanising on Kersal Moor.,happened at,PL-NH-001,Kersal Moor,On the record,,,Place column for 1826: Kersal Moor,,https://historicengland.org.uk/listing/the-list/list-entry/1406283
,TL-NH-006,Robert Cribb finds the Manchester moth at Kersal Moor; attribution later becomes disputed.,took part in,NH-006,Robert Cribb,On the record,,,Key figures column for 1829: Robert Cribb,,https://www.museum.manchester.ac.uk/collections/entomology
,TL-NH-006,Robert Cribb finds the Manchester moth at Kersal Moor; attribution later becomes disputed.,took part in,NH-007,R. Wood,On the record,,,Key figures column for 1829: R. Wood,,https://www.museum.manchester.ac.uk/collections/entomology
,TL-NH-006,Robert Cribb finds the Manchester moth at Kersal Moor; attribution later becomes disputed.,took part in,GH-CURTIS,John Curtis,On the record,,,Key figures column for 1829: John Curtis,,https://www.museum.manchester.ac.uk/collections/entomology
,TL-NH-006,Robert Cribb finds the Manchester moth at Kersal Moor; attribution later becomes disputed.,organisation,COL-007,Entomological collecting network,On the record,,,Organisation column for 1829: Entomological collecting network,,https://www.museum.manchester.ac.uk/collections/entomology
,TL-NH-006,Robert Cribb finds the Manchester moth at Kersal Moor; attribution later becomes disputed.,happened at,PL-NH-001,Kersal Moor,On the record,,,Place column for 1829: Kersal Moor,,https://www.museum.manchester.ac.uk/collections/entomology
,TL-NH-007,John Horsefield becomes president of the wider regional botanical meetings.,took part in,NH-002,John Horsefield,Not yet confirmed,,,Key figures column for 1830: John Horsefield,,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
,TL-NH-007,John Horsefield becomes president of the wider regional botanical meetings.,organisation,ORG-NH-004,United Lancashire botanical societies,Not yet confirmed,,,Organisation column for 1830: United Lancashire botanical societies,,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
,TL-NH-008,Natural History Society museum opens on Peter Street.,took part in,COL-004,Private collections and museum institutions,On the record,,,Key figures column for 1835: Society members and donors,,https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/
,TL-NH-008,Natural History Society museum opens on Peter Street.,organisation,ORG-NH-002,Manchester Natural History Society,On the record,,,Organisation column for 1835: Manchester Natural History Society,,https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/
,TL-NH-008,Natural History Society museum opens on Peter Street.,happened at,PL-NH-013,Peter Street Natural History Museum,On the record,,,Place column for 1835: Peter Street,,https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/
,TL-BASE-002,Manchester Corporation founded; start of modern local government.,organisation,ORG-BASE-001,Manchester Corporation,On the record,,,Organisation column for 1838: Manchester Corporation,,Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-BASE-003,Manchester Diocese established.,organisation,ORG-BASE-003,Manchester Diocese,On the record,,,Organisation column for 1847: Manchester Diocese,,Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-NH-009,Richard Buxton publishes A Botanical Guide to plants within sixteen miles of Manchester.,took part in,NH-001,Richard Buxton,On the record,,,Key figures column for 1849: Richard Buxton,,https://journals.sagepub.com/doi/10.1177/007327539403200302
,TL-NH-009,Richard Buxton publishes A Botanical Guide to plants within sixteen miles of Manchester.,organisation,COL-001,Artisan botanists,On the record,,,Organisation column for 1849: Artisan botanical network,,https://journals.sagepub.com/doi/10.1177/007327539403200302
,TL-BASE-004,Elizabeth Gaskell's house completed at 84 Plymouth Grove.,took part in,200082,Elizabeth Gaskell,On the record,,,Key figures column for 1850: Elizabeth Gaskell,,Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-BASE-004,Elizabeth Gaskell's house completed at 84 Plymouth Grove.,happened at,PL-BASE-019,Elizabeth Gaskell's House (84 Plymouth Grove),On the record,,,Place column for 1850: Plymouth Grove,,Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-NH-010,First Manchester Microscopical Society formed.,took part in,GH-BRITTAIN,Thomas Brittain,On the record,,,Key figures column for 1858: Thomas Brittain and others,,https://www.manchestermicroscopical.org.uk/mmshist.html
,TL-NH-010,First Manchester Microscopical Society formed.,organisation,ORG-NH-006,Manchester Microscopical Society,On the record,,,Organisation column for 1858: Manchester Microscopical Society,,https://www.manchestermicroscopical.org.uk/mmshist.html
,TL-NH-011,Leo Grindon publishes Manchester Flora.,took part in,VM-ADD-011,Leo H. Grindon,On the record,,,Key figures column for 1859: Leo H. Grindon,,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
,TL-NH-011,Leo Grindon publishes Manchester Flora.,happened at,PL-NH-018,Chorlton-on-Medlock,On the record,,,Place column for 1859: Manchester and eighteen-mile radius,,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
,TL-NH-012,Manchester Field-Naturalists' Society founded.,took part in,VM-ADD-011,Leo H. Grindon,On the record,,,Key figures column for 1860: Leo H. Grindon,,https://lib-archives.ex.ac.uk/Record.aspx?id=EUL+MS+277&src=CalmView.Catalog
,TL-NH-012,Manchester Field-Naturalists' Society founded.,took part in,NH-004,Joseph Sidebotham,On the record,,,Key figures column for 1860: Joseph Sidebotham,,https://lib-archives.ex.ac.uk/Record.aspx?id=EUL+MS+277&src=CalmView.Catalog
